,num_features,n_cat_features,bi_cat_features
0,garage_spots,floor_laminate,fully_fenced_yes
1,walk_score,fnd_stilts,hoa_mandatory_yes
2,bathroom_full,ctop_laminate,roof_tile_slate
3,bedrooms,floor_stone,double_driveway
4,3rd Bed_sqft,style_medi,auto_garage_door_opener
5,Area_Median_Appraised_Value,fnd_pier,property_type_sf
6,tax_rate,floor_vinyl,master_bath_yes
7,stories,ext_wood,utility_room_in_house
8,Dining_sqft,style_span,guest_room_yes
9,grocery_store_count,ext_stone,any_range_yes
10,building_sqft_clean,ctop_stone,oven_electric_yes
11,bike_score,ctop_quartz,game_room_yes
12,year_built,floor_terrazo,microwave_yes
13,Kitchen_sqft,floor_wood,wet_bar_yes
14,1st Bed_sqft,floor_concrete,balcony_yes
15,transit_score,ext_asbes,garage_attached
16,lot_size,fnd_builders,central_heating_no
17,Living_sqft,ext_brick,zoned_cooling_yes
18,school_index4_count,style_french,property_type_th
19,total_crimes,style_ranch,study_room_yes
20,2nd Bed_sqft,fnd_beam,central_cooling_no
21,downtown_dist,floor_brick,hvac_yes
22,maintenance_fee_annual,ctop_tile,thermostat_yes
23,school_distinction_count,floor_carpet,tankless_water_heater
24,school_distinction_count,ctop_formica,master_tub_whirlpool
25,school_distinction_count,ext_stucco,disposal_yes
26,school_distinction_count,style_col,elevator_yes
27,school_distinction_count,fnd_blocks,gas_range_yes
28,school_distinction_count,floor_slate,turbine_vent_yes
29,school_distinction_count,floor_marble,refrigerator_yes
30,school_distinction_count,ctop_marble,rooftop_access_yes
31,school_distinction_count,style_cont,insulated_yes
32,school_distinction_count,ext_aluminum,hot_tub_yes
33,school_distinction_count,ext_synth,garage_apt_yes
34,school_distinction_count,ext_veneer,patiodeck_yes
35,school_distinction_count,ext_vinyl,barrier_yes
36,school_distinction_count,style_vict,master_double_sinks
37,school_distinction_count,style_eng,outside_spa
38,school_distinction_count,style_geor,alarm_system_yes
39,school_distinction_count,style_geor,any_oven_yes
40,school_distinction_count,style_geor,dishwasher_yes
41,school_distinction_count,style_geor,fireplace_yes
42,school_distinction_count,style_geor,flood_plain_yes
43,school_distinction_count,style_geor,zoned_heating_yes
44,school_distinction_count,style_geor,master_tub_shower
45,school_distinction_count,style_geor,backyard_yes
46,school_distinction_count,style_geor,construction_unlived_unfinished
47,school_distinction_count,style_geor,private_pool_yes
48,school_distinction_count,style_geor,access_gate
49,school_distinction_count,style_geor,high_ceilings_yes
50,school_distinction_count,style_geor,formal_room_yes
